dataset_size,document_type,vector_search_ms,metadata_fetch_ms,prompt_assembly_ms,total_fetch_latency_ms
1000,raw_documents,2.1,8.5,18.0,28.6
1000,synthetic_structured,1.2,1.8,4.2,7.2
5000,raw_documents,3.5,14.0,32.0,49.5
5000,synthetic_structured,1.6,2.5,6.5,10.6
10000,raw_documents,4.8,20.0,45.0,69.8
10000,synthetic_structured,1.9,3.2,8.5,13.6
25000,raw_documents,6.5,35.0,70.0,111.5
25000,synthetic_structured,2.4,4.8,12.0,19.2
50000,raw_documents,8.2,55.0,95.0,158.2
50000,synthetic_structured,2.9,6.0,15.5,24.4
100000,raw_documents,10.5,85.0,140.0,235.5
100000,synthetic_structured,3.4,7.8,19.0,30.2
